"Probes","Chr","Pos","deltaBeta","absDeltaBeta","DNAm_Effect","Author","Syndrome"
"cg26107597","chr14",31343283,-0.2420917,0.2420917,"Loss","Sadikovic","Sotos"
"cg14076729","chr1",38126628,-0.2947201,0.2947201,"Loss","Sadikovic","Sotos"
"cg14686645","chr17",42452426,-0.339465,0.339465,"Loss","Sadikovic","Sotos"
"cg01568522","chr12",51786038,-0.3330936,0.3330936,"Loss","Sadikovic","Sotos"
"cg01601573","chr4",144256835,-0.3133249,0.3133249,"Loss","Sadikovic","Sotos"
"cg20941258","chr3",46618668,-0.2949027,0.2949027,"Loss","Sadikovic","Sotos"
"cg14160968","chr4",77723057,-0.3299023,0.3299023,"Loss","Sadikovic","Sotos"
"cg08511651","chr6",26017619,-0.32443628,0.32443628,"Loss","Sadikovic","Sotos"
"cg19127638","chr10",70322442,-0.4104309,0.4104309,"Loss","Sadikovic","Sotos"
"cg17774102","chr6",28829640,-0.4090968,0.4090968,"Loss","Sadikovic","Sotos"
"cg08216684","chr5",77144016,-0.42928,0.42928,"Loss","Sadikovic","Sotos"
"cg01937803","chr14",103605307,-0.2644489,0.2644489,"Loss","Sadikovic","Sotos"
"cg21198712","chr9",98534327,-0.3601071,0.3601071,"Loss","Sadikovic","Sotos"
"cg25317631","chr11",44541905,-0.4721152,0.4721152,"Loss","Sadikovic","Sotos"
"cg11857646","chr7",150644631,-0.2635829,0.2635829,"Loss","Sadikovic","Sotos"
"cg11324650","chr3",194014745,-0.3198798,0.3198798,"Loss","Sadikovic","Sotos"
"cg12150256","chr3",50359849,-0.3440473,0.3440473,"Loss","Sadikovic","Sotos"
"cg08217285","chr17",27917879,-0.2821796,0.2821796,"Loss","Sadikovic","Sotos"
"cg06415891","chr1",2467096,-0.5042103,0.5042103,"Loss","Sadikovic","Sotos"
"cg19389372","chr19",36485356,-0.43254504,0.43254504,"Loss","Sadikovic","Sotos"
"cg07786675","chr1",27189985,-0.3756675,0.3756675,"Loss","Sadikovic","Sotos"
"cg09089451","chr7",149410923,-0.4672736,0.4672736,"Loss","Sadikovic","Sotos"
"cg15371801","chr2",232348684,-0.53271518,0.53271518,"Loss","Sadikovic","Sotos"
"cg02754470","chr15",59157857,-0.3968324,0.3968324,"Loss","Sadikovic","Sotos"
"cg02477448","chr22",38199880,-0.3352175,0.3352175,"Loss","Sadikovic","Sotos"
"cg00549574","chr17",74350942,-0.4444777,0.4444777,"Loss","Sadikovic","Sotos"
