"Probes","Chr","Pos"
"cg25942940","chr1",8270645
"cg14853974","chr17",8218887
"cg20474425","chr12",54746067
"cg06906435","chr14",99177777
"cg04053108","chr12",6166028
"cg25037165","chr11",12824283
"cg16923485","chr12",21476904
"cg12806882","chr1",240572391
"cg08941355","chr7",27133106
"cg11857140","chr11",126372533
"cg15161959","chr2",177020616
"cg16787483","chr13",88328251
"cg11758841","chr11",12530155
"cg03906434","chr7",27231819
"cg14179389","chr1",92947961
"cg00048370","chr6",164506939
"cg17461600","chr1",57983368
"cg16915863","chr12",54523294
"cg20706134","chr13",61990025
