"Probes","Chr","Pos"
"cg06768599","chr14",24785488
"cg20956548","chr19",56618060
"cg14371731","chr10",81003175
"cg16875104","chr7",30635889
"cg20744163","chr10",80999841
"cg27053299","chr13",100548780
"cg14014731","chr9",19378679
"cg20225999","chr2",218843435
"cg24420089","chr11",457304
"cg12104246","chr6",24718589
"cg05463589","chr16",88706426
"cg16565409","chr17",27048223
"cg03534375","chr3",57743163
"cg26125366","chr18",31806577
"cg18582260","chr13",25085301
"cg00873601","chr12",116044025
"cg13127231","chr13",111806949
"cg06498272","chr19",1192499
"cg12689529","chr11",126335883
"cg14270725","chr1",1289806
"cg21282663","chr1",221053904
"cg03798743","chr11",98940816
"cg21226442","chr12",27088580
