"Probes","Chr","Pos"
"cg23989110","chr1",27683139
"cg17220161","chr1",203242601
"cg08121453","chr1",248855364
"cg00314115","chr2",121280002
"cg18025886","chr3",196750939
"cg08102414","chr4",1570791
"cg16620608","chr7",100841473
"cg03930209","chr7",156735466
"cg04451175","chr8",16860088
"cg16370398","chr12",54448913
"cg27111444","chr12",54590808
"cg16081457","chr12",81103680
"cg19721065","chr12",113549986
"cg27053299","chr13",100548780
"cg12414681","chr15",29968195
"cg03680291","chr16",47052148
"cg05463589","chr16",88706426
"cg07330481","chr17",37322330
"cg14910288","chr18",10033220
"cg27413508","chr20",30225517
"cg04090347","chr21",44061597
