"Probes","Chr","Pos","deltaBeta","absDeltaBeta","DNAm_Effect","Author","Syndrome"
"cg25942940","chr1",8270645,-0.108836049183303,0.108836049183303,"Loss","Weksberg","CHARGE"
"cg17461600","chr1",57983368,-0.100405797277677,0.100405797277677,"Loss","Weksberg","CHARGE"
"cg14179389","chr1",92947961,0.101370140653358,0.101370140653358,"Gain","Weksberg","CHARGE"
"cg12806882","chr1",240572391,-0.103528836660617,0.103528836660617,"Loss","Weksberg","CHARGE"
"cg00428457","chr2",119887680,-0.109555795281307,0.109555795281307,"Loss","Weksberg","CHARGE"
"cg16058600","chr2",157183013,-0.112281189655172,0.112281189655172,"Loss","Weksberg","CHARGE"
"cg21758126","chr2",157183291,-0.105311052268603,0.105311052268603,"Loss","Weksberg","CHARGE"
"cg17654050","chr2",157184978,-0.108760577495463,0.108760577495463,"Loss","Weksberg","CHARGE"
"cg15161959","chr2",177020616,-0.112890624682396,0.112890624682396,"Loss","Weksberg","CHARGE"
"cg23333146","chr3",71731211,-0.104287060980036,0.104287060980036,"Loss","Weksberg","CHARGE"
"cg21090457","chr3",77573709,-0.15695502522686,0.15695502522686,"Loss","Weksberg","CHARGE"
"cg00511167","chr3",134206503,-0.102555353176044,0.102555353176044,"Loss","Weksberg","CHARGE"
"cg11341144","chr3",185656289,-0.124324605626134,0.124324605626134,"Loss","Weksberg","CHARGE"
"cg15297220","chr4",134589655,0.104974852813067,0.104974852813067,"Gain","Weksberg","CHARGE"
"cg07318204","chr4",145566441,-0.187038096733212,0.187038096733212,"Loss","Weksberg","CHARGE"
"cg04392082","chr4",186732926,0.13573879292196,0.13573879292196,"Gain","Weksberg","CHARGE"
"cg24549912","chr5",50692281,-0.100598696370236,0.100598696370236,"Loss","Weksberg","CHARGE"
"cg23111488","chr5",144538350,-0.144913779491833,0.144913779491833,"Loss","Weksberg","CHARGE"
"cg17615629","chr6",30459867,0.111011529038113,0.111011529038113,"Gain","Weksberg","CHARGE"
"cg26033526","chr6",32819858,0.105871362431942,0.105871362431942,"Gain","Weksberg","CHARGE"
"cg22011526","chr6",36857605,-0.108245470054447,0.108245470054447,"Loss","Weksberg","CHARGE"
"cg18477569","chr6",90951134,-0.125339008892922,0.125339008892922,"Loss","Weksberg","CHARGE"
"cg26673377","chr6",123182996,-0.106429760072595,0.106429760072595,"Loss","Weksberg","CHARGE"
"cg08319974","chr6",164506861,0.101164770235935,0.101164770235935,"Gain","Weksberg","CHARGE"
"cg00048370","chr6",164506939,0.107328707259528,0.107328707259528,"Gain","Weksberg","CHARGE"
"cg22321572","chr6",168225923,-0.118174312431942,0.118174312431942,"Loss","Weksberg","CHARGE"
"cg20071624","chr7",5258357,-0.122118219782214,0.122118219782214,"Loss","Weksberg","CHARGE"
"cg08941355","chr7",27133106,-0.153755953176044,0.153755953176044,"Loss","Weksberg","CHARGE"
"cg07659054","chr7",27134225,-0.103183533212341,0.103183533212341,"Loss","Weksberg","CHARGE"
"cg08657654","chr7",27138974,-0.146512513793103,0.146512513793103,"Loss","Weksberg","CHARGE"
"cg26023912","chr7",27184369,0.123672188566243,0.123672188566243,"Gain","Weksberg","CHARGE"
"cg22469274","chr7",27187553,0.105493295063521,0.105493295063521,"Gain","Weksberg","CHARGE"
"cg19816811","chr7",27188364,0.102543768784029,0.102543768784029,"Gain","Weksberg","CHARGE"
"cg03906434","chr7",27231819,-0.147044237368421,0.147044237368421,"Loss","Weksberg","CHARGE"
"cg18546840","chr7",114055123,-0.107508420145191,0.107508420145191,"Loss","Weksberg","CHARGE"
"cg05575639","chr8",61593696,-0.1119150030853,0.1119150030853,"Loss","Weksberg","CHARGE"
"cg05976283","chr8",103140765,-0.100243994192378,0.100243994192378,"Loss","Weksberg","CHARGE"
"cg01746241","chr9",34370835,-0.114595380580762,0.114595380580762,"Loss","Weksberg","CHARGE"
"cg09517766","chr10",44894102,-0.12205692522686,0.12205692522686,"Loss","Weksberg","CHARGE"
"cg13404688","chr10",89876324,-0.100739514700544,0.100739514700544,"Loss","Weksberg","CHARGE"
"cg11758841","chr11",12530155,-0.110386152450091,0.110386152450091,"Loss","Weksberg","CHARGE"
"cg25037165","chr11",12824283,-0.12064902831216,0.12064902831216,"Loss","Weksberg","CHARGE"
"cg25598685","chr11",42617544,-0.13249604845735,0.13249604845735,"Loss","Weksberg","CHARGE"
"cg19981409","chr11",89225042,-0.1178932646098,0.1178932646098,"Loss","Weksberg","CHARGE"
"cg11857140","chr11",126372533,-0.125454708892922,0.125454708892922,"Loss","Weksberg","CHARGE"
"cg25607216","chr11",126976228,-0.103135793829401,0.103135793829401,"Loss","Weksberg","CHARGE"
"cg04053108","chr12",6166028,0.202512645353902,0.202512645353902,"Gain","Weksberg","CHARGE"
"cg22222281","chr12",6308758,-0.103036832667877,0.103036832667877,"Loss","Weksberg","CHARGE"
"cg25285743","chr12",16701533,0.101968636842105,0.101968636842105,"Gain","Weksberg","CHARGE"
"cg16923485","chr12",21476904,0.111433478221416,0.111433478221416,"Gain","Weksberg","CHARGE"
"cg12115302","chr12",30323676,-0.126488305172414,0.126488305172414,"Loss","Weksberg","CHARGE"
"cg22679316","chr12",54396990,-0.10735260707804,0.10735260707804,"Loss","Weksberg","CHARGE"
"cg16915863","chr12",54523294,-0.149750089655172,0.149750089655172,"Loss","Weksberg","CHARGE"
"cg20474425","chr12",54746067,0.107362204718693,0.107362204718693,"Gain","Weksberg","CHARGE"
"cg17301248","chr12",112467203,-0.128670778584392,0.128670778584392,"Loss","Weksberg","CHARGE"
"cg25556579","chr12",114829194,-0.131524481125227,0.131524481125227,"Loss","Weksberg","CHARGE"
"cg09203312","chr13",20805196,-0.105630347549909,0.105630347549909,"Loss","Weksberg","CHARGE"
"cg20706134","chr13",61990025,-0.105252295281307,0.105252295281307,"Loss","Weksberg","CHARGE"
"cg12166476","chr13",76334866,0.109251718511797,0.109251718511797,"Gain","Weksberg","CHARGE"
"cg16787483","chr13",88328251,-0.149830232667877,0.149830232667877,"Loss","Weksberg","CHARGE"
"cg08959039","chr13",111062266,-0.13699107168784,0.13699107168784,"Loss","Weksberg","CHARGE"
"cg23998119","chr14",77600217,0.107571313303085,0.107571313303085,"Gain","Weksberg","CHARGE"
"cg16278496","chr14",98444476,0.102808619963702,0.102808619963702,"Gain","Weksberg","CHARGE"
"cg06906435","chr14",99177777,-0.15035708185118,0.15035708185118,"Loss","Weksberg","CHARGE"
"cg17904575","chr14",102290370,0.103631125589837,0.103631125589837,"Gain","Weksberg","CHARGE"
"cg14191466","chr14",103440432,-0.126919695408348,0.126919695408348,"Loss","Weksberg","CHARGE"
"cg06911613","chr16",85846184,-0.125329838838475,0.125329838838475,"Loss","Weksberg","CHARGE"
"cg14853974","chr17",8218887,0.104800147912886,0.104800147912886,"Gain","Weksberg","CHARGE"
"cg25356504","chr17",26707476,-0.112678935571688,0.112678935571688,"Loss","Weksberg","CHARGE"
"cg15648345","chr17",56297360,-0.109485867513612,0.109485867513612,"Loss","Weksberg","CHARGE"
"cg23679819","chr18",13730665,0.101944181488203,0.101944181488203,"Gain","Weksberg","CHARGE"
"cg20811236","chr18",46501400,-0.1026356,0.1026356,"Loss","Weksberg","CHARGE"
"cg23720384","chr21",23747055,-0.103736096188748,0.103736096188748,"Loss","Weksberg","CHARGE"
"cg18274664","chr21",27372461,0.149974824500907,0.149974824500907,"Gain","Weksberg","CHARGE"
"cg22076474","chr21",30677172,-0.107662181306715,0.107662181306715,"Loss","Weksberg","CHARGE"
