"Probes","Chr","Pos"
"cg21105875","chr1",202778869
"cg23218354","chr1",2885244
"cg07600533","chr22",50986031
"cg09056876","chr6",156718398
"cg03133378","chr7",99195931
"cg25807487","chr11",68782106
"cg20079298","chr15",40572326
"cg12363903","chr5",134526269
"cg09684846","chr16",10912718
"cg13568106","chr17",26835115
"cg02956248","chr6",32120901
"cg24365896","chr11",69974745
"cg01996116","chr3",42846907
"cg26863172","chr1",1361729
"cg04015962","chr1",10949192
"cg23689428","chr2",121223964
"cg00701051","chr1",145385391
"cg25334934","chr2",121269348
"cg03930209","chr7",156735466
"cg06704455","chr22",37815264
"cg23731272","chr15",67356838
"cg23359665","chr6",32120907
"cg16293892","chr5",77142620
"cg08199758","chr16",3062426
"cg20021506","chr6",156718546
"cg26865747","chr6",28601377
"cg25844921","chr3",15107309
"cg15371801","chr2",232348684
"cg05820861","chr13",24882296
"cg07475394","chr17",79466438
"cg12846837","chr8",48172889
"cg16005559","chr11",120040616
"cg09660878","chr5",77142695
"cg16717549","chr21",45705699
"cg11429111","chr5",134813329
"cg06833564","chr16",4665307
"cg00186462","chr3",100401284
"cg10316525","chr15",40572137
"cg00931644","chr13",77461368
"cg08234689","chr7",127910927
"cg00982521","chr6",41374806
"cg07816556","chr6",26017280
"cg25449950","chr4",24797174
"cg02486855","chr15",67356942
"cg18315060","chr6",41374532
"cg18689454","chr21",45705694
"cg12109823","chr8",67454595
"cg11291003","chr5",134526241
"cg26942432","chr15",99557464
"cg20422417","chr2",25427108
"cg22344745","chr1",227746294
"cg21795221","chr6",156718262
"cg06729532","chr19",14376770
"cg03274456","chr11",62273116
"cg13504434","chr12",121088311
"cg08620329","chr8",67454546
"cg26465389","chr10",135060475
"cg08482837","chr2",86038423
"cg05225634","chr6",156718288
"cg01761236","chr14",102990251
"cg16615454","chr12",50475167
"cg07292773","chr6",156718177
"cg14220678","chr1",46089024
"cg25968569","chr13",77461335
"cg12290671","chr7",99195819
"cg19092981","chr22",19751654
"cg02781088","chr2",113192302
"cg25646708","chr3",134031685
"cg13502125","chr1",147826191
"cg10690919","chr17",48912545
"cg02649698","chr10",43818854
"cg26915952","chr1",178456270
"cg19817652","chr17",36997420
"cg15477144","chr22",45705034
"cg26153054","chr2",132152814
"cg06686742","chr19",8273505
"cg12403142","chr1",92012408
"cg03962527","chr10",111766879
"cg11647108","chr10",81967516
"cg22249529","chr22",50985797
"cg00594854","chr17",48052682
"cg10999992","chr22",38200221
"cg26576890","chr6",41374939
"cg18373855","chr6",159360209
"cg04044120","chr11",73668757
"cg26643967","chr19",36485282
"cg25317631","chr11",44541905
"cg04358214","chr16",67143304
"cg12131208","chr17",58499700
"cg27535677","chr6",28601365
"cg26070540","chr20",30225666
"cg21811021","chr4",6659346
"cg21778193","chr1",1098070
"cg02153814","chr3",194014525
"cg18424208","chr5",149546337
"cg23381884","chr6",1597525
"cg06154311","chr20",61002657
"cg08043592","chr19",56687388
"cg13471599","chr12",120835778
"cg21915678","chr17",59494040
"cg07187855","chr6",30854161
"cg10502244","chr12",48399295
"cg26004771","chr1",178456093
"cg12233487","chr20",2517085
"cg14167415","chr5",77146999
"cg16073143","chr6",159360073
"cg09614479","chr10",81967536
"cg04157161","chr17",7906847
"cg04359418","chr10",76573396
"cg02404974","chr6",41376295
"cg09044186","chr11",116661388
"cg08083251","chr13",23309930
"cg05412788","chr12",120835721
"cg17801295","chr2",241640826
"cg21885361","chr7",127911034
"cg26600753","chr5",180622446
"cg25885280","chr11",70760166
"cg13614409","chr13",31506752
"cg09593860","chr11",113929287
"cg04561804","chr3",169683976
"cg20137746","chr10",27235598
"cg25438517","chr5",77146796
"cg22198853","chr6",1594411
"cg00990385","chr12",113587690
"cg10676327","chr4",6659735
"cg17604655","chr7",156735383
"cg02632490","chr10",88024529
"cg19196401","chr6",110721138
"cg17116120","chr20",30225681
"cg05516295","chr5",134526124
"cg17900689","chr17",4649262
"cg21010202","chr6",1615843
"cg12642717","chr18",12255318
"cg09674170","chr16",3062382
"cg05168012","chr2",102867275
"cg11117637","chr5",149546366
"cg26695758","chr6",32063607
"cg00970752","chr1",15711443
"cg10365562","chr3",46615549
"cg06842409","chr20",30437560
"cg17976205","chr20",61002857
"cg14706297","chr2",43328266
"cg04220541","chr8",48172992
"cg06693983","chr19",55889216
"cg06423211","chr19",551401
"cg26707664","chr18",60278353
"cg00549574","chr17",74350942
"cg11372436","chr4",24797007
"cg25257677","chr8",22223985
"cg13939055","chr1",244094869
"cg19094530","chr10",79470169
"cg23924370","chr2",88583805
"cg20737388","chr11",73668626
"cg06415891","chr1",2467096
"cg27500148","chr17",37011491
"cg08379987","chr13",31507139
"cg20816361","chr1",2467100
"cg00443981","chr17",58499679
"cg07537443","chr17",47572132
"cg09634707","chr10",72219713
"cg14429919","chr6",3054820
"cg09692695","chr2",74668286
"cg22300566","chr6",1598558
"cg17724412","chr6",28829283
"cg05308495","chr19",54515169
"cg13713218","chr9",100000033
"cg07405182","chr1",40598455
"cg10555383","chr8",143859990
"cg21406402","chr2",121223847
"cg25066665","chr1",150335507
"cg10635895","chr12",2339439
"cg04202002","chr2",127643360
"cg24574963","chr7",149120622
"cg27362048","chr11",116661237
"cg00091064","chr6",41376604
"cg19402939","chr3",184104481
"cg17034331","chr5",77146318
"cg18121224","chr5",176559563
"cg19940077","chr1",200842282
"cg23634477","chr6",27018112
"cg24187351","chrX",68525883
"cg18568930","chr19",51815658
"cg07581811","chr3",184491461
"cg19772114","chr6",28829321
"cg11559198","chr2",232348794
"cg14652587","chr17",75692571
"cg00944421","chr16",68269483
"cg27102629","chr10",76573155
"cg11012412","chr5",77147141
"cg20703261","chr6",41375153
"cg01342115","chr3",134031663
"cg00823843","chr1",244094885
"cg01952185","chr5",134813213
"cg00643333","chr22",45705037
"cg18409649","chr7",99066398
"cg24550212","chr20",45170494
