"Probes","Chr","Pos"
"cg06902698","chr1",151137676
"cg06768599","chr14",24785488
"cg16423910","chr19",49843627
"cg04731926","chr19",35758185
"cg12176783","chr20",62694000
"cg21637392","chr7",5735123
"cg20956548","chr19",56618060
"cg15961920","chr6",30586293
"cg27278519","chr12",81104111
"cg15095327","chr3",9944512
"cg01331992","chr9",19379118
"cg24869272","chr11",850296
"cg21721340","chr20",62682309
"cg14845962","chr12",58120237
"cg01178624","chr11",65360327
"cg14371731","chr10",81003175
"cg16875104","chr7",30635889
"cg24937727","chr19",11517079
"cg18322589","chr10",123909456
"cg20744163","chr10",80999841
"cg08347626","chr5",1850140
"cg09970481","chr19",42379744
"cg07816074","chr4",8201560
"cg27053299","chr13",100548780
"cg14014731","chr9",19378679
"cg09230763","chr1",27683351
"cg20225999","chr2",218843435
"cg05654765","chr3",49170727
"cg03461110","chr7",4778881
"cg24420089","chr11",457304
"cg12104246","chr6",24718589
"cg13091627","chr1",153518476
"cg05463589","chr16",88706426
"cg24940967","chr3",45837197
"cg16565409","chr17",27048223
"cg07588439","chr2",198571554
"cg03534375","chr3",57743163
"cg03890167","chr1",203242638
"cg17594256","chr13",46014654
"cg26125366","chr18",31806577
"cg09978353","chr17",72759282
"cg12155036","chr3",194015171
"cg10213542","chr5",178692728
"cg10146935","chr1",871308
"cg06826457","chr12",12867669
"cg22220710","chr18",7011217
"cg04124636","chr16",1033408
"cg09990613","chr20",62688896
"cg10586546","chr6",31634657
"cg03168947","chr3",42201649
"cg06359132","chr10",99160096
"cg10364115","chr7",2560976
"cg18582260","chr13",25085301
"cg10950358","chr1",147253401
"cg01103827","chr21",40554221
"cg02583484","chr12",54677008
"cg12845268","chr10",63657363
"cg00873601","chr12",116044025
"cg24332685","chr6",31508126
"cg16065768","chr12",114107712
"cg05003599","chr7",100187399
"cg07963563","chr20",3730943
"cg16906765","chr15",75475038
"cg20978937","chr14",105399321
"cg22948959","chr1",2509272
"cg09406004","chr7",155284355
"cg13127231","chr13",111806949
"cg14916924","chr9",129433969
"cg01644731","chr12",58236712
"cg03888592","chr12",48210934
"cg19887750","chr18",47813174
"cg06498272","chr19",1192499
"cg01209635","chr19",3607269
"cg14707053","chr6",42019127
"cg12259522","chr13",112310720
"cg18974224","chr14",105603153
"cg21212881","chr9",14344359
"cg23141851","chr3",14615941
"cg15153957","chr19",40736427
"cg06341731","chr14",99641017
"cg02892925","chr8",60032926
"cg23928920","chr15",92944756
"cg12689529","chr11",126335883
"cg03472000","chr10",118084320
"cg14660676","chr8",126012434
"cg16526732","chr12",95598159
"cg06521653","chr16",85845811
"cg12086028","chr6",33241026
"cg16983110","chr6",128813319
"cg11683663","chr19",855536
"cg18587137","chr14",103593503
"cg14270725","chr1",1289806
"cg13810727","chr7",155438591
"cg22828581","chr9",93880502
"cg21282663","chr1",221053904
"cg15392111","chr4",140216263
"cg05715492","chr7",98991138
"cg02142461","chr4",4293079
"cg23274660","chr20",44655227
"cg06789445","chr3",69942668
"cg23998478","chr2",121269292
"cg13389502","chr17",1961440
"cg16031250","chr5",135365012
"cg01101380","chr1",36039173
"cg07642595","chr13",113952548
"cg26328687","chr11",96076794
"cg11742202","chr6",74364667
"cg19423978","chr19",3688477
"cg02661079","chr20",44829722
"cg14271729","chr14",57858383
"cg12910806","chr1",246728677
"cg06191495","chr2",234264163
"cg11190278","chr14",51252662
"cg11414202","chr17",26501467
"cg03798743","chr11",98940816
"cg08122386","chr6",26195954
"cg05620261","chr19",34991070
"cg14898243","chr10",70863693
"cg08250921","chr16",88111009
"cg10382814","chr1",160312182
"cg12280317","chr1",152008083
"cg17242664","chr4",5710761
"cg05612654","chr6",2375895
"cg10658779","chr10",77871675
"cg21162977","chr9",19050395
"cg22188918","chr7",100882175
"cg03437912","chr13",29232327
"cg22904096","chr2",211180386
"cg23565821","chr6",33385056
"cg09941876","chr11",126137977
"cg08382220","chr16",70834335
"cg07976603","chr19",10444506
"cg12350863","chr3",169758289
"cg00070052","chr9",116171972
"cg23035209","chr5",72795181
"cg16017144","chr17",77100082
"cg24439448","chr18",60264554
"cg23404877","chr2",85553759
"cg16000360","chr1",228328880
"cg04097078","chr22",20784542
"cg00601836","chr6",152130332
"cg21226442","chr12",27088580
"cg15451248","chr3",155570809
"cg20474675","chr11",16761292
"cg03033176","chr11",65343929
"cg07457967","chr19",35069613
"cg04305808","chr7",99614209
"cg13912824","chr7",157346224
"cg10133500","chr3",50396252
"cg24526103","chr13",110433784
"cg03902201","chr10",13425201
"cg19646165","chr17",7144367
"cg09573515","chr16",73517493
