"Probes","Chr","Pos"
"cg25942940","chr1",8270645
"cg17461600","chr1",57983368
"cg14179389","chr1",92947961
"cg12806882","chr1",240572391
"cg00428457","chr2",119887680
"cg16058600","chr2",157183013
"cg21758126","chr2",157183291
"cg17654050","chr2",157184978
"cg15161959","chr2",177020616
"cg23333146","chr3",71731211
"cg21090457","chr3",77573709
"cg00511167","chr3",134206503
"cg11341144","chr3",185656289
"cg15297220","chr4",134589655
"cg07318204","chr4",145566441
"cg04392082","chr4",186732926
"cg24549912","chr5",50692281
"cg23111488","chr5",144538350
"cg17615629","chr6",30459867
"cg26033526","chr6",32819858
"cg22011526","chr6",36857605
"cg18477569","chr6",90951134
"cg26673377","chr6",123182996
"cg08319974","chr6",164506861
"cg00048370","chr6",164506939
"cg22321572","chr6",168225923
"cg20071624","chr7",5258357
"cg08941355","chr7",27133106
"cg07659054","chr7",27134225
"cg08657654","chr7",27138974
"cg26023912","chr7",27184369
"cg22469274","chr7",27187553
"cg19816811","chr7",27188364
"cg03906434","chr7",27231819
"cg18546840","chr7",114055123
"cg05575639","chr8",61593696
"cg05976283","chr8",103140765
"cg01746241","chr9",34370835
"cg09517766","chr10",44894102
"cg13404688","chr10",89876324
"cg11758841","chr11",12530155
"cg25037165","chr11",12824283
"cg25598685","chr11",42617544
"cg19981409","chr11",89225042
"cg11857140","chr11",126372533
"cg25607216","chr11",126976228
"cg04053108","chr12",6166028
"cg22222281","chr12",6308758
"cg25285743","chr12",16701533
"cg16923485","chr12",21476904
"cg12115302","chr12",30323676
"cg22679316","chr12",54396990
"cg16915863","chr12",54523294
"cg20474425","chr12",54746067
"cg17301248","chr12",112467203
"cg25556579","chr12",114829194
"cg09203312","chr13",20805196
"cg20706134","chr13",61990025
"cg12166476","chr13",76334866
"cg16787483","chr13",88328251
"cg08959039","chr13",111062266
"cg23998119","chr14",77600217
"cg16278496","chr14",98444476
"cg06906435","chr14",99177777
"cg17904575","chr14",102290370
"cg14191466","chr14",103440432
"cg06911613","chr16",85846184
"cg14853974","chr17",8218887
"cg25356504","chr17",26707476
"cg15648345","chr17",56297360
"cg23679819","chr18",13730665
"cg20811236","chr18",46501400
"cg23720384","chr21",23747055
"cg18274664","chr21",27372461
"cg22076474","chr21",30677172
