"Probes","Chr","Pos"
"cg22987448","chr19",8591364
"cg20860188","chr2",23613280
"cg17713912","chr7",103449893
"cg04863892","chr7",27183375
"cg25942940","chr1",8270645
"cg14853974","chr17",8218887
"cg11096515","chr13",111062287
"cg20474425","chr12",54746067
"cg08070327","chr7",27184059
"cg06906435","chr14",99177777
"cg14058329","chr7",27183946
"cg23204968","chr7",27183816
"cg22512830","chr13",108110276
"cg04053108","chr12",6166028
"cg02646423","chr7",27183794
"cg23677291","chr11",56923527
"cg25037165","chr11",12824283
"cg25506432","chr7",27184065
"cg14013695","chr7",27184176
"cg10651121","chr12",109549097
"cg05226008","chr8",13372132
"cg11321156","chr21",27372396
"cg05167916","chr13",111061859
"cg23364711","chr13",110696820
"cg16923485","chr12",21476904
"cg27536286","chr13",27414220
"cg12806882","chr1",240572391
"cg08941355","chr7",27133106
"cg04635635","chr15",30163726
"cg17686487","chr5",50686281
"cg11857140","chr11",126372533
"cg09305883","chr16",51684945
"cg06602723","chr17",46693336
"cg20592075","chr7",45921668
"cg18951332","chr2",220777552
"cg06728970","chr21",39037746
"cg03003919","chr8",85087913
"cg15161959","chr2",177020616
"cg25730122","chr13",107070047
"cg19719409","chr7",27130324
"cg04507071","chr10",128152124
"cg08503681","chr5",145895884
"cg06130322","chr12",129103970
"cg20710519","chr5",6775909
"cg08380478","chr10",132683454
"cg24796998","chr17",70383845
"cg27631817","chr6",10060938
"cg07520269","chr11",84634188
"cg16787483","chr13",88328251
"cg02000318","chr7",27197713
"cg19543968","chr22",39190571
"cg15325961","chr8",49183143
"cg01663825","chr7",43238739
"cg08115371","chr11",79115706
"cg02211646","chr7",114055210
"cg27084781","chr3",73734568
"cg15355952","chr5",36662829
"cg13569424","chr18",497782
"cg13245264","chr6",154331823
"cg02974204","chr16",86714765
"cg18178840","chr5",81702289
"cg11758841","chr11",12530155
"cg18161956","chr12",115112626
"cg21980394","chr6",161860263
"cg10308749","chr6",126080335
"cg03906434","chr7",27231819
"cg19223521","chr2",119436490
"cg10273821","chr15",28014188
"cg14179389","chr1",92947961
"cg00350158","chr11",40713713
"cg08335389","chr12",109554302
"cg01383287","chr2",73495839
"cg09549073","chr7",27183274
"cg26229043","chr10",24407477
"cg00048370","chr6",164506939
"cg17989763","chr10",86863762
"cg27079740","chr4",176733877
"cg01709518","chr3",68053484
"cg25801742","chr11",58736104
"cg03352173","chr3",112013130
"cg18589102","chr10",132683444
"cg09319828","chr1",156551787
"cg08755703","chr16",54394989
"cg09361691","chr13",47471169
"cg03934681","chr10",116697604
"cg12291059","chr18",19997924
"cg17461600","chr1",57983368
"cg22731513","chr13",111451972
"cg09404376","chr6",134499189
"cg09600715","chr7",27229163
"cg16171484","chr2",223290515
"cg23104439","chr14",54412780
"cg08401657","chr6",10399046
"cg27112993","chr17",35242805
"cg22226821","chr1",240587072
"cg10806197","chr14",27429693
"cg11630632","chr13",33113343
"cg04229930","chr2",224433836
"cg10299976","chr10",94455543
"cg12399536","chr11",12884884
"cg16142488","chr5",12176144
"cg14696334","chr15",91500193
"cg02973961","chr16",65152965
"cg15841205","chr14",37056458
"cg21929875","chr11",124622096
"cg10949113","chr7",1362962
"cg19570154","chr2",5513337
"cg09674170","chr16",3062382
"cg20815778","chr6",72113416
"cg14212966","chr1",53558392
"cg08207154","chr3",178197818
"cg17104824","chr2",177014959
"cg16362934","chr11",119661326
"cg13178766","chr12",71113470
"cg07629125","chr13",58299015
"cg07593523","chr5",58082800
"cg08756640","chr10",88392351
"cg08985968","chr13",101174096
"cg09096031","chr2",198540569
"cg03814093","chr4",154410006
"cg05210671","chr14",104787388
"cg26924747","chr7",127984319
"cg13805001","chr9",89555718
"cg23849826","chr15",39872186
"cg13775636","chr10",711897
"cg06875131","chr17",63554468
"cg16522260","chr11",114958426
"cg11316517","chr5",72666838
"cg00705992","chr7",27226329
"cg23511824","chr14",54816172
"cg25972787","chr8",42547493
"cg05726274","chr16",65783443
"cg05465935","chr5",43515805
"cg04024827","chr12",54454163
"cg16915863","chr12",54523294
"cg18774642","chr18",30353699
"cg15082824","chr11",70977715
"cg21906947","chr6",168426664
"cg05499178","chr11",69285980
"cg01795776","chr1",23003462
"cg20706134","chr13",61990025
"cg24750308","chr11",89225014
"cg14424631","chr15",51526420
"cg18664965","chr3",126259356
"cg11964314","chr12",44858069
"cg23930311","chr14",60043876
"cg05210501","chr7",27219344
"cg26130053","chr20",19981722
