"Probes","Chr","Pos"
"cg26107597","chr14",31343283
"cg14076729","chr1",38126628
"cg14686645","chr17",42452426
"cg01568522","chr12",51786038
"cg01601573","chr4",144256835
"cg20941258","chr3",46618668
"cg14160968","chr4",77723057
"cg08511651","chr6",26017619
"cg19127638","chr10",70322442
"cg17774102","chr6",28829640
"cg08216684","chr5",77144016
"cg01937803","chr14",103605307
"cg21198712","chr9",98534327
"cg25317631","chr11",44541905
"cg11857646","chr7",150644631
"cg11324650","chr3",194014745
"cg12150256","chr3",50359849
"cg08217285","chr17",27917879
"cg06415891","chr1",2467096
"cg19389372","chr19",36485356
"cg07786675","chr1",27189985
"cg09089451","chr7",149410923
"cg15371801","chr2",232348684
"cg02754470","chr15",59157857
"cg02477448","chr22",38199880
"cg00549574","chr17",74350942
"cg01342115","chr3",134031663
"cg06154311","chr20",61002657
"cg21215576","chr8",124217760
"cg05225634","chr6",156718288
"cg26218577","chr15",69744466
"cg05413199","chr16",67430454
"cg03329019","chr1",221051117
"cg15477144","chr22",45705034
"cg25037000","chr1",2931557
"cg20703261","chr6",41375153
"cg05412788","chr12",120835721
"cg25968569","chr13",77461335
"cg08234689","chr7",127910927
"cg07816556","chr6",26017280
"cg21778193","chr1",1098070
"cg11541486","chr17",72358055
"cg20871559","chr1",156361263
"cg25240254","chr19",56000944
"cg00326131","chr2",74668477
"cg25453677","chr17",1835735
"cg04159546","chr1",3605087
"cg24727290","chr6",30850868
"cg21105875","chr1",202778869
"cg18033770","chr9",139259074
"cg21475076","chr1",1100493
"cg22012583","chr1",150947949
"cg00424451","chr17",76338660
"cg23897302","chr14",103393970
"cg02399371","chr17",79306875
"cg23006204","chr9",130700866
"cg13641713","chr9",139023169
"cg20068058","chr11",46317859
"cg25921357","chr19",55887905
"cg02024846","chr9",99382466
"cg04196143","chr2",162096032
"cg08889009","chr15",59157123
"cg16800939","chr14",100631798
"cg19185846","chr2",71123233
"cg08378788","chr17",1395864
"cg20638675","chr10",45374906
"cg24942458","chr19",33723713
"cg17220161","chr1",203242601
"cg24642820","chr3",13462465
"cg19817652","chr17",36997420
"cg01135546","chr17",45949828
"cg23694533","chr17",40806193
"cg19959917","chr10",44878373
"cg05092353","chr13",113777013
"cg12453228","chr6",41338345
"cg07870378","chr16",4665298
"cg06462065","chr19",55885168
"cg09044186","chr11",116661388
"cg27520536","chr16",54228323
"cg25547332","chr5",131281432
"cg08461752","chr10",43522343
"cg03292743","chr2",74642838
"cg19286437","chr10",88428117
"cg25125298","chr5",71853215
"cg10347828","chr19",49244040
"cg25924688","chr15",72977851
"cg06114987","chr16",86611714
"cg03123541","chr1",95699097
"cg05897163","chr17",37782302
"cg02136452","chr16",49872492
"cg05998295","chr8",21775764
"cg09408902","chr2",121338544
"cg08801479","chr6",32165200
"cg03503642","chr6",75912711
"cg11097968","chr14",103012188
"cg24083746","chr19",45826152
"cg02197228","chr2",220402771
"cg19143959","chr15",40572794
"cg01914059","chr16",88448561
"cg13206556","chr13",20875399
"cg14264194","chr1",211652549
"cg24210717","chr12",50497827
"cg24942922","chr3",120003547
"cg12043200","chr14",21090883
"cg24413781","chr19",8273693
"cg19925872","chr15",90543392
"cg13734535","chr9",132948449
"cg12165772","chr17",48070354
"cg16317038","chr1",38495051
"cg19893439","chr12",56617730
"cg08289350","chr17",74524371
"cg06687640","chr5",159560692
