"Probes","Chr","Pos","deltaBeta","absDeltaBeta","DNAm_Effect","Author","Syndrome"
"cg14270725","chr1",1289806,-0.150359829090909,0.150359829090909,"Loss","Weksberg","Kabuki"
"cg01832549","chr1",19774989,0.112337836363636,0.112337836363636,"Gain","Weksberg","Kabuki"
"cg23989110","chr1",27683139,0.105822790909091,0.105822790909091,"Gain","Weksberg","Kabuki"
"cg27539046","chr1",32451252,0.104902854545455,0.104902854545455,"Gain","Weksberg","Kabuki"
"cg22851880","chr1",36038701,-0.107761827272727,0.107761827272727,"Loss","Weksberg","Kabuki"
"cg26372517","chr1",36039159,-0.11212175,0.11212175,"Loss","Weksberg","Kabuki"
"cg21577836","chr1",175568710,-0.107462112727273,0.107462112727273,"Loss","Weksberg","Kabuki"
"cg17220161","chr1",203242601,0.114474981818182,0.114474981818182,"Gain","Weksberg","Kabuki"
"cg21282663","chr1",221053904,-0.145587445454545,0.145587445454545,"Loss","Weksberg","Kabuki"
"cg08121453","chr1",248855364,0.107944236363636,0.107944236363636,"Gain","Weksberg","Kabuki"
"cg24201793","chr2",9144764,-0.159358727272727,0.159358727272727,"Loss","Weksberg","Kabuki"
"cg20698421","chr2",65217623,-0.176368672727273,0.176368672727273,"Loss","Weksberg","Kabuki"
"cg04286823","chr2",109747003,-0.137439145454545,0.137439145454545,"Loss","Weksberg","Kabuki"
"cg00314115","chr2",121280002,0.120121663636364,0.120121663636364,"Gain","Weksberg","Kabuki"
"cg17740434","chr2",179388064,0.178767563636364,0.178767563636364,"Gain","Weksberg","Kabuki"
"cg23061725","chr2",202126379,0.207530854545455,0.207530854545455,"Gain","Weksberg","Kabuki"
"cg20225999","chr2",218843435,-0.202194827272727,0.202194827272727,"Loss","Weksberg","Kabuki"
"cg18738581","chr3",9944183,0.110469627272727,0.110469627272727,"Gain","Weksberg","Kabuki"
"cg03534375","chr3",57743163,-0.151278,0.151278,"Loss","Weksberg","Kabuki"
"cg15247245","chr3",96168838,0.105521645454545,0.105521645454545,"Gain","Weksberg","Kabuki"
"cg25197194","chr3",128758787,-0.116046772727273,0.116046772727273,"Loss","Weksberg","Kabuki"
"cg03876340","chr3",155570582,-0.143497190909091,0.143497190909091,"Loss","Weksberg","Kabuki"
"cg18025886","chr3",196750939,0.178770045454545,0.178770045454545,"Gain","Weksberg","Kabuki"
"cg08102414","chr4",1570791,0.108399090909091,0.108399090909091,"Gain","Weksberg","Kabuki"
"cg07587796","chr4",111397401,0.1197548,0.1197548,"Gain","Weksberg","Kabuki"
"cg15130459","chr5",40834228,-0.117365909090909,0.117365909090909,"Loss","Weksberg","Kabuki"
"cg21995347","chr5",53814891,-0.102933772727273,0.102933772727273,"Loss","Weksberg","Kabuki"
"cg20673840","chr5",54281362,-0.103537236363636,0.103537236363636,"Loss","Weksberg","Kabuki"
"cg11927233","chr5",170816542,-0.128579972727273,0.128579972727273,"Loss","Weksberg","Kabuki"
"cg24527008","chr5",177870233,-0.101294173636364,0.101294173636364,"Loss","Weksberg","Kabuki"
"cg12104246","chr6",24718589,-0.130434681818182,0.130434681818182,"Loss","Weksberg","Kabuki"
"cg08818610","chr6",24910720,0.262100618181818,0.262100618181818,"Gain","Weksberg","Kabuki"
"cg03785755","chr6",26196794,-0.1136534,0.1136534,"Loss","Weksberg","Kabuki"
"cg15735240","chr6",30586360,-0.103032681818182,0.103032681818182,"Loss","Weksberg","Kabuki"
"cg18335326","chr6",30653659,0.103156309090909,0.103156309090909,"Gain","Weksberg","Kabuki"
"cg13541527","chr6",31804078,-0.207271009090909,0.207271009090909,"Loss","Weksberg","Kabuki"
"cg04063345","chr6",152130058,0.138001754545455,0.138001754545455,"Gain","Weksberg","Kabuki"
"cg10433043","chr6",152432725,-0.140111127272727,0.140111127272727,"Loss","Weksberg","Kabuki"
"cg04654167","chr6",158090949,0.110845045454545,0.110845045454545,"Gain","Weksberg","Kabuki"
"cg04321618","chr7",27170880,-0.179704163636364,0.179704163636364,"Loss","Weksberg","Kabuki"
"cg11724970","chr7",27182493,0.179202863636364,0.179202863636364,"Gain","Weksberg","Kabuki"
"cg15372603","chr7",27197239,0.103702018181818,0.103702018181818,"Gain","Weksberg","Kabuki"
"cg16875104","chr7",30635889,-0.164531463636364,0.164531463636364,"Loss","Weksberg","Kabuki"
"cg08352439","chr7",55637123,0.148742445454546,0.148742445454546,"Gain","Weksberg","Kabuki"
"cg05807420","chr7",83314331,0.102784836363636,0.102784836363636,"Gain","Weksberg","Kabuki"
"cg16620608","chr7",100841473,0.103931018181818,0.103931018181818,"Gain","Weksberg","Kabuki"
"cg03930209","chr7",156735466,0.1789517,0.1789517,"Gain","Weksberg","Kabuki"
"cg12996100","chr8",11470690,0.143602781818182,0.143602781818182,"Gain","Weksberg","Kabuki"
"cg04451175","chr8",16860088,-0.100913490909091,0.100913490909091,"Loss","Weksberg","Kabuki"
"cg20786280","chr8",30892276,-0.112992327272727,0.112992327272727,"Loss","Weksberg","Kabuki"
"cg08494221","chr8",30892479,-0.106122836363636,0.106122836363636,"Loss","Weksberg","Kabuki"
"cg19338056","chr9",14992172,-0.146306427272727,0.146306427272727,"Loss","Weksberg","Kabuki"
"cg14014731","chr9",19378679,-0.111566872727273,0.111566872727273,"Loss","Weksberg","Kabuki"
"cg12474798","chr10",64565772,-0.194797663636364,0.194797663636364,"Loss","Weksberg","Kabuki"
"cg20744163","chr10",80999841,0.238154981818182,0.238154981818182,"Gain","Weksberg","Kabuki"
"cg14371731","chr10",81003175,0.164222860181818,0.164222860181818,"Gain","Weksberg","Kabuki"
"cg18977541","chr10",102381532,0.208783497272727,0.208783497272727,"Gain","Weksberg","Kabuki"
"cg24420089","chr11",457304,0.129658518181818,0.129658518181818,"Gain","Weksberg","Kabuki"
"cg25169733","chr11",26986089,-0.106015654545455,0.106015654545455,"Loss","Weksberg","Kabuki"
"cg03798743","chr11",98940816,-0.121565490909091,0.121565490909091,"Loss","Weksberg","Kabuki"
"cg12689529","chr11",126335883,0.112039472727273,0.112039472727273,"Gain","Weksberg","Kabuki"
"cg21226442","chr12",27088580,-0.125855336363636,0.125855336363636,"Loss","Weksberg","Kabuki"
"cg07529392","chr12",52215972,-0.140874009090909,0.140874009090909,"Loss","Weksberg","Kabuki"
"cg04799958","chr12",53343849,0.156279763636364,0.156279763636364,"Gain","Weksberg","Kabuki"
"cg15834355","chr12",54442075,-0.101798218181818,0.101798218181818,"Loss","Weksberg","Kabuki"
"cg16370398","chr12",54448913,-0.213983527272727,0.213983527272727,"Loss","Weksberg","Kabuki"
"cg27111444","chr12",54590808,-0.1257846,0.1257846,"Loss","Weksberg","Kabuki"
"cg07684775","chr12",54772688,-0.110780818181818,0.110780818181818,"Loss","Weksberg","Kabuki"
"cg23387569","chr12",58120011,-0.200308745454545,0.200308745454545,"Loss","Weksberg","Kabuki"
"cg16081457","chr12",81103680,0.164240409090909,0.164240409090909,"Gain","Weksberg","Kabuki"
"cg09892273","chr12",85307424,0.1009722,0.1009722,"Gain","Weksberg","Kabuki"
"cg19721065","chr12",113549986,0.135455890909091,0.135455890909091,"Gain","Weksberg","Kabuki"
"cg00873601","chr12",116044025,0.180202945454545,0.180202945454545,"Gain","Weksberg","Kabuki"
"cg18582260","chr13",25085301,-0.105866974545455,0.105866974545455,"Loss","Weksberg","Kabuki"
"cg21801165","chr13",50210231,-0.162505618181818,0.162505618181818,"Loss","Weksberg","Kabuki"
"cg09823859","chr13",88328294,0.101265227272727,0.101265227272727,"Gain","Weksberg","Kabuki"
"cg00525681","chr13",88329151,0.117173454545454,0.117173454545454,"Gain","Weksberg","Kabuki"
"cg01997461","chr13",98825992,-0.1094073,0.1094073,"Loss","Weksberg","Kabuki"
"cg27053299","chr13",100548780,0.175028590909091,0.175028590909091,"Gain","Weksberg","Kabuki"
"cg13127231","chr13",111806949,-0.144355145454545,0.144355145454545,"Loss","Weksberg","Kabuki"
"cg06768599","chr14",24785488,-0.162583727272727,0.162583727272727,"Loss","Weksberg","Kabuki"
"cg04269193","chr14",46241576,0.147262681818182,0.147262681818182,"Gain","Weksberg","Kabuki"
"cg20145009","chr14",105399175,-0.130252018181818,0.130252018181818,"Loss","Weksberg","Kabuki"
"cg22811647","chr14",105748448,0.110794981818182,0.110794981818182,"Gain","Weksberg","Kabuki"
"cg12414681","chr15",29968195,0.145018218181818,0.145018218181818,"Gain","Weksberg","Kabuki"
"cg04635635","chr15",30163726,-0.114199136363636,0.114199136363636,"Loss","Weksberg","Kabuki"
"cg06683510","chr15",47618795,0.103250218181818,0.103250218181818,"Gain","Weksberg","Kabuki"
"cg10044575","chr16",1208828,0.144447536363636,0.144447536363636,"Gain","Weksberg","Kabuki"
"cg03680291","chr16",47052148,0.105498036363636,0.105498036363636,"Gain","Weksberg","Kabuki"
"cg16544989","chr16",85600639,0.130022445454545,0.130022445454545,"Gain","Weksberg","Kabuki"
"cg07021906","chr16",87866833,-0.1559959,0.1559959,"Loss","Weksberg","Kabuki"
"cg05463589","chr16",88706426,0.231707163636364,0.231707163636364,"Gain","Weksberg","Kabuki"
"cg13768953","chr17",7114967,-0.111668336363636,0.111668336363636,"Loss","Weksberg","Kabuki"
"cg01246520","chr17",17644344,0.298448036363636,0.298448036363636,"Gain","Weksberg","Kabuki"
"cg05246522","chr17",25798973,0.119774727272727,0.119774727272727,"Gain","Weksberg","Kabuki"
"cg17730048","chr17",26577563,-0.106430754545455,0.106430754545455,"Loss","Weksberg","Kabuki"
"cg16565409","chr17",27048223,-0.168549263636364,0.168549263636364,"Loss","Weksberg","Kabuki"
