"Probes","Chr","Pos","deltaBeta","absDeltaBeta","DNAm_Effect","Author","Syndrome"
"cg21105875","chr1",202778869,-0.667525608812431,0.667525608812431,"Loss","Weksberg","Sotos"
"cg23218354","chr1",2885244,-0.666484698597285,0.666484698597285,"Loss","Weksberg","Sotos"
"cg07600533","chr22",50986031,-0.660777037602664,0.660777037602664,"Loss","Weksberg","Sotos"
"cg09056876","chr6",156718398,-0.645285393229745,0.645285393229745,"Loss","Weksberg","Sotos"
"cg03133378","chr7",99195931,-0.650051515593785,0.650051515593785,"Loss","Weksberg","Sotos"
"cg25807487","chr11",68782106,-0.641534331642619,0.641534331642619,"Loss","Weksberg","Sotos"
"cg20079298","chr15",40572326,-0.636533098113208,0.636533098113208,"Loss","Weksberg","Sotos"
"cg12363903","chr5",134526269,-0.633984078357381,0.633984078357381,"Loss","Weksberg","Sotos"
"cg09684846","chr16",10912718,-0.636128663240844,0.636128663240844,"Loss","Weksberg","Sotos"
"cg13568106","chr17",26835115,-0.62367165427303,0.62367165427303,"Loss","Weksberg","Sotos"
"cg02956248","chr6",32120901,-0.632348676392897,0.632348676392897,"Loss","Weksberg","Sotos"
"cg24365896","chr11",69974745,-0.624559338845727,0.624559338845727,"Loss","Weksberg","Sotos"
"cg01996116","chr3",42846907,-0.6251472472697,0.6251472472697,"Loss","Weksberg","Sotos"
"cg26863172","chr1",1361729,-0.619545045418424,0.619545045418424,"Loss","Weksberg","Sotos"
"cg04015962","chr1",10949192,-0.618901966104329,0.618901966104329,"Loss","Weksberg","Sotos"
"cg23689428","chr2",121223964,-0.6082625618202,0.6082625618202,"Loss","Weksberg","Sotos"
"cg00701051","chr1",145385391,-0.61607634872364,0.61607634872364,"Loss","Weksberg","Sotos"
"cg25334934","chr2",121269348,-0.609699020277469,0.609699020277469,"Loss","Weksberg","Sotos"
"cg03930209","chr7",156735466,-0.610314214334073,0.610314214334073,"Loss","Weksberg","Sotos"
"cg06704455","chr22",37815264,-0.609905088823529,0.609905088823529,"Loss","Weksberg","Sotos"
"cg23731272","chr15",67356838,-0.592967199145394,0.592967199145394,"Loss","Weksberg","Sotos"
"cg23359665","chr6",32120907,-0.601121501442841,0.601121501442841,"Loss","Weksberg","Sotos"
"cg16293892","chr5",77142620,-0.589842542064373,0.589842542064373,"Loss","Weksberg","Sotos"
"cg08199758","chr16",3062426,-0.596624024306326,0.596624024306326,"Loss","Weksberg","Sotos"
"cg20021506","chr6",156718546,-0.590662774938957,0.590662774938957,"Loss","Weksberg","Sotos"
"cg26865747","chr6",28601377,-0.587496530677025,0.587496530677025,"Loss","Weksberg","Sotos"
"cg25844921","chr3",15107309,-0.588772865704772,0.588772865704772,"Loss","Weksberg","Sotos"
"cg15371801","chr2",232348684,-0.588935670379578,0.588935670379578,"Loss","Weksberg","Sotos"
"cg05820861","chr13",24882296,-0.580377701309656,0.580377701309656,"Loss","Weksberg","Sotos"
"cg07475394","chr17",79466438,-0.586398200788013,0.586398200788013,"Loss","Weksberg","Sotos"
"cg12846837","chr8",48172889,-0.582501040843507,0.582501040843507,"Loss","Weksberg","Sotos"
"cg16005559","chr11",120040616,-0.585967254051054,0.585967254051054,"Loss","Weksberg","Sotos"
"cg09660878","chr5",77142695,-0.571790994872364,0.571790994872364,"Loss","Weksberg","Sotos"
"cg16717549","chr21",45705699,-0.57814038563818,0.57814038563818,"Loss","Weksberg","Sotos"
"cg11429111","chr5",134813329,-0.584744377025527,0.584744377025527,"Loss","Weksberg","Sotos"
"cg06833564","chr16",4665307,-0.575973991897891,0.575973991897891,"Loss","Weksberg","Sotos"
"cg00186462","chr3",100401284,-0.566811984739179,0.566811984739179,"Loss","Weksberg","Sotos"
"cg10316525","chr15",40572137,-0.582297934961154,0.582297934961154,"Loss","Weksberg","Sotos"
"cg00931644","chr13",77461368,-0.584691361587125,0.584691361587125,"Loss","Weksberg","Sotos"
"cg08234689","chr7",127910927,-0.579808690566038,0.579808690566038,"Loss","Weksberg","Sotos"
"cg00982521","chr6",41374806,-0.578071702463929,0.578071702463929,"Loss","Weksberg","Sotos"
"cg07816556","chr6",26017280,-0.575612414805771,0.575612414805771,"Loss","Weksberg","Sotos"
"cg25449950","chr4",24797174,-0.57489551609323,0.57489551609323,"Loss","Weksberg","Sotos"
"cg02486855","chr15",67356942,-0.561237275127636,0.561237275127636,"Loss","Weksberg","Sotos"
"cg18315060","chr6",41374532,-0.570043693229745,0.570043693229745,"Loss","Weksberg","Sotos"
"cg18689454","chr21",45705694,-0.57430519872364,0.57430519872364,"Loss","Weksberg","Sotos"
"cg12109823","chr8",67454595,-0.571660985283019,0.571660985283019,"Loss","Weksberg","Sotos"
"cg11291003","chr5",134526241,-0.570844179467259,0.570844179467259,"Loss","Weksberg","Sotos"
"cg26942432","chr15",99557464,-0.569691687036626,0.569691687036626,"Loss","Weksberg","Sotos"
"cg20422417","chr2",25427108,-0.566475085072142,0.566475085072142,"Loss","Weksberg","Sotos"
"cg22344745","chr1",227746294,-0.564662757026637,0.564662757026637,"Loss","Weksberg","Sotos"
"cg21795221","chr6",156718262,-0.561920732852386,0.561920732852386,"Loss","Weksberg","Sotos"
"cg06729532","chr19",14376770,-0.566232486392897,0.566232486392897,"Loss","Weksberg","Sotos"
"cg03274456","chr11",62273116,-0.56404901509434,0.56404901509434,"Loss","Weksberg","Sotos"
"cg13504434","chr12",121088311,-0.556328675682575,0.556328675682575,"Loss","Weksberg","Sotos"
"cg08620329","chr8",67454546,-0.551737635405105,0.551737635405105,"Loss","Weksberg","Sotos"
"cg26465389","chr10",135060475,-0.559114631742508,0.559114631742508,"Loss","Weksberg","Sotos"
"cg08482837","chr2",86038423,-0.555827209223085,0.555827209223085,"Loss","Weksberg","Sotos"
"cg05225634","chr6",156718288,-0.548557478246393,0.548557478246393,"Loss","Weksberg","Sotos"
"cg01761236","chr14",102990251,-0.555059386981132,0.555059386981132,"Loss","Weksberg","Sotos"
