"Probes","Chr","Pos","deltaBeta","absDeltaBeta","DNAm_Effect","Author","Syndrome"
"cg06902698","chr1",151137676,-0.1173602,0.1173602,"Loss","Sadikovic","Kabuki"
"cg06768599","chr14",24785488,-0.1372382,0.1372382,"Loss","Sadikovic","Kabuki"
"cg16423910","chr19",49843627,0.1244979,0.1244979,"Gain","Sadikovic","Kabuki"
"cg04731926","chr19",35758185,-0.09485478,0.09485478,"Loss","Sadikovic","Kabuki"
"cg12176783","chr20",62694000,-0.1315417,0.1315417,"Loss","Sadikovic","Kabuki"
"cg21637392","chr7",5735123,0.14474696,0.14474696,"Gain","Sadikovic","Kabuki"
"cg20956548","chr19",56618060,0.0573572999999999,0.0573572999999999,"Gain","Sadikovic","Kabuki"
"cg15961920","chr6",30586293,-0.0537668,0.0537668,"Loss","Sadikovic","Kabuki"
"cg27278519","chr12",81104111,0.06987119,0.06987119,"Gain","Sadikovic","Kabuki"
"cg15095327","chr3",9944512,0.0936627,0.0936627,"Gain","Sadikovic","Kabuki"
"cg01331992","chr9",19379118,-0.1419489,0.1419489,"Loss","Sadikovic","Kabuki"
"cg24869272","chr11",850296,-0.1551613,0.1551613,"Loss","Sadikovic","Kabuki"
"cg21721340","chr20",62682309,0.149102,0.149102,"Gain","Sadikovic","Kabuki"
"cg14845962","chr12",58120237,-0.2118734,0.2118734,"Loss","Sadikovic","Kabuki"
"cg01178624","chr11",65360327,-0.2361334,0.2361334,"Loss","Sadikovic","Kabuki"
"cg14371731","chr10",81003175,0.13687219,0.13687219,"Gain","Sadikovic","Kabuki"
"cg16875104","chr7",30635889,-0.137071,0.137071,"Loss","Sadikovic","Kabuki"
"cg24937727","chr19",11517079,-0.13568909,0.13568909,"Loss","Sadikovic","Kabuki"
"cg18322589","chr10",123909456,0.1499005,0.1499005,"Gain","Sadikovic","Kabuki"
"cg20744163","chr10",80999841,0.1943089,0.1943089,"Gain","Sadikovic","Kabuki"
"cg08347626","chr5",1850140,0.1339417,0.1339417,"Gain","Sadikovic","Kabuki"
"cg09970481","chr19",42379744,0.1339427,0.1339427,"Gain","Sadikovic","Kabuki"
"cg07816074","chr4",8201560,0.0913886,0.0913886,"Gain","Sadikovic","Kabuki"
"cg27053299","chr13",100548780,0.1228559,0.1228559,"Gain","Sadikovic","Kabuki"
"cg14014731","chr9",19378679,-0.1088357,0.1088357,"Loss","Sadikovic","Kabuki"
"cg09230763","chr1",27683351,0.122998,0.122998,"Gain","Sadikovic","Kabuki"
"cg20225999","chr2",218843435,-0.2134646,0.2134646,"Loss","Sadikovic","Kabuki"
"cg05654765","chr3",49170727,0.1387428,0.1387428,"Gain","Sadikovic","Kabuki"
"cg03461110","chr7",4778881,0.1029672,0.1029672,"Gain","Sadikovic","Kabuki"
"cg24420089","chr11",457304,0.1052662,0.1052662,"Gain","Sadikovic","Kabuki"
"cg12104246","chr6",24718589,-0.1196323,0.1196323,"Loss","Sadikovic","Kabuki"
"cg13091627","chr1",153518476,0.0829468,0.0829468,"Gain","Sadikovic","Kabuki"
"cg05463589","chr16",88706426,0.1150361,0.1150361,"Gain","Sadikovic","Kabuki"
"cg24940967","chr3",45837197,-0.1508848,0.1508848,"Loss","Sadikovic","Kabuki"
"cg16565409","chr17",27048223,-0.1509108,0.1509108,"Loss","Sadikovic","Kabuki"
"cg07588439","chr2",198571554,-0.1040656,0.1040656,"Loss","Sadikovic","Kabuki"
"cg03534375","chr3",57743163,-0.1380054,0.1380054,"Loss","Sadikovic","Kabuki"
"cg03890167","chr1",203242638,0.093271,0.093271,"Gain","Sadikovic","Kabuki"
"cg17594256","chr13",46014654,0.0897164,0.0897164,"Gain","Sadikovic","Kabuki"
"cg26125366","chr18",31806577,-0.1006752,0.1006752,"Loss","Sadikovic","Kabuki"
"cg09978353","chr17",72759282,0.0725546,0.0725546,"Gain","Sadikovic","Kabuki"
"cg12155036","chr3",194015171,0.0791819,0.0791819,"Gain","Sadikovic","Kabuki"
"cg10213542","chr5",178692728,0.1392075,0.1392075,"Gain","Sadikovic","Kabuki"
"cg10146935","chr1",871308,-0.1512697,0.1512697,"Loss","Sadikovic","Kabuki"
"cg06826457","chr12",12867669,0.1072484,0.1072484,"Gain","Sadikovic","Kabuki"
"cg22220710","chr18",7011217,-0.1420009,0.1420009,"Loss","Sadikovic","Kabuki"
"cg04124636","chr16",1033408,-0.1026586,0.1026586,"Loss","Sadikovic","Kabuki"
"cg09990613","chr20",62688896,0.0866968,0.0866968,"Gain","Sadikovic","Kabuki"
"cg10586546","chr6",31634657,-0.0723525,0.0723525,"Loss","Sadikovic","Kabuki"
"cg03168947","chr3",42201649,0.0859285,0.0859285,"Gain","Sadikovic","Kabuki"
"cg06359132","chr10",99160096,-0.1201877,0.1201877,"Loss","Sadikovic","Kabuki"
"cg10364115","chr7",2560976,0.11213234,0.11213234,"Gain","Sadikovic","Kabuki"
"cg18582260","chr13",25085301,-0.0743957,0.0743957,"Loss","Sadikovic","Kabuki"
"cg10950358","chr1",147253401,0.0672734,0.0672734,"Gain","Sadikovic","Kabuki"
"cg01103827","chr21",40554221,-0.0907805,0.0907805,"Loss","Sadikovic","Kabuki"
"cg02583484","chr12",54677008,-0.1085857,0.1085857,"Loss","Sadikovic","Kabuki"
"cg12845268","chr10",63657363,0.0782792999999999,0.0782792999999999,"Gain","Sadikovic","Kabuki"
"cg00873601","chr12",116044025,0.1324068,0.1324068,"Gain","Sadikovic","Kabuki"
"cg24332685","chr6",31508126,-0.0669922,0.0669922,"Loss","Sadikovic","Kabuki"
"cg16065768","chr12",114107712,0.1272358,0.1272358,"Gain","Sadikovic","Kabuki"
"cg05003599","chr7",100187399,0.0945733,0.0945733,"Gain","Sadikovic","Kabuki"
"cg07963563","chr20",3730943,-0.1002535,0.1002535,"Loss","Sadikovic","Kabuki"
"cg16906765","chr15",75475038,0.0500418,0.0500418,"Gain","Sadikovic","Kabuki"
"cg20978937","chr14",105399321,-0.1133273,0.1133273,"Loss","Sadikovic","Kabuki"
"cg22948959","chr1",2509272,0.0678892,0.0678892,"Gain","Sadikovic","Kabuki"
"cg09406004","chr7",155284355,0.1099362,0.1099362,"Gain","Sadikovic","Kabuki"
"cg13127231","chr13",111806949,-0.1232494,0.1232494,"Loss","Sadikovic","Kabuki"
"cg14916924","chr9",129433969,0.0819231,0.0819231,"Gain","Sadikovic","Kabuki"
"cg01644731","chr12",58236712,0.0594918,0.0594918,"Gain","Sadikovic","Kabuki"
"cg03888592","chr12",48210934,0.0445956,0.0445956,"Gain","Sadikovic","Kabuki"
"cg19887750","chr18",47813174,-0.1011255,0.1011255,"Loss","Sadikovic","Kabuki"
"cg06498272","chr19",1192499,0.10033831,0.10033831,"Gain","Sadikovic","Kabuki"
"cg01209635","chr19",3607269,0.0709051,0.0709051,"Gain","Sadikovic","Kabuki"
"cg14707053","chr6",42019127,-0.107044,0.107044,"Loss","Sadikovic","Kabuki"
"cg12259522","chr13",112310720,0.0621141,0.0621141,"Gain","Sadikovic","Kabuki"
